id,chunk_id,chunk_file,relative_timestamp,absolute_timestamp,sentence,sentence_pos
20,3,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio003.mp3,"(12.700000000000001, 24.7)","(99.7, 111.7)","Egy művészeti fesztivál, ahol ugye hát tulajdonképpen önmaga szerveződik, hogy ez az alap elvük, vagy ez volt. Ma már ez nem így van, nem viszel be pénzt, nem számít, hogy honnan jössz, nincsen a pénznek értéke,","(1615, 1825)"
21,3,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio003.mp3,"(24.7, 29.0)","(111.7, 116.0)","te állítod elő az ételt, te viszed a vizet, és az önmagát fenntartod.","(1827, 1895)"
22,4,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio004.mp3,"(0.0, 5.08)","(116.0, 121.08)","Fesztivál vagy mozgalom, így indult valamikor, ez volt az alapjának, ugye, hogy innen indult.","(1897, 1989)"
23,4,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio004.mp3,"(5.08, 22.56)","(121.08, 138.56)","Aztán ma már írja is, megjelentek az influencer-ek, gazdagok repülnek, magánképekkel, külön konyhát visznek, külön lékkondízék, vannak sátrak, a pénzeseknek, és ma már mindenről szól, csak arról nem ahogy ez elindult mondjuk 1983-ban, vagy egy éven.","(1991, 2239)"
24,4,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio004.mp3,"(22.56, 28.48)","(138.56, 144.48)",Az első fesztivalag vagy a korai időszaknak a mondani valójátszellemisége totálisan megtorpe dolgozott.,"(2241, 2343)"
25,4,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio004.mp3,"(28.48, 29.02)","(144.48, 145.02)","Igen, mert ugye...","(2345, 2362)"
26,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(0.0, 4.5600000000000005)","(145.0, 149.56)","Arról szólt, ez régen, hogy mi lépjünk ki önmagából a fogyasztói társadalomból,","(2364, 2442)"
27,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(4.5600000000000005, 8.88)","(149.56, 153.88)","hagyjuk egyébként az önkifejezést meg mindenkinek, úgy jössz, úgy öltözöl,","(2444, 2517)"
28,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(8.88, 13.64)","(153.88, 158.64)","azt csinálsz, amit akarsz, de mi környezetbarát vagyunk, és fenntartjuk önmagunkat.","(2519, 2601)"
29,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(13.64, 18.400000000000002)","(158.64, 163.4)",És ezt mi megrendezük a sehet fesztiválunkat elvonulva a fogyasztói társadalomból. Ez volt.,"(2603, 2693)"
30,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(18.400000000000002, 20.400000000000002)","(163.4, 165.4)",Ez egy tök szép kezdeményezés.,"(2695, 2724)"
31,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(20.400000000000002, 22.400000000000002)","(165.4, 167.4)","Ma már több a magánkép, mint a lakókocsi.","(2726, 2766)"
32,5,C:/Users/freyd/Desktop/HunSpeechRecognition/PROBA2/assets/trim/0/0/0/audio005.mp3,"(22.400000000000002, 29.400000000000002)","(167.4, 174.4)","Hűtött sátrakba pihennek a sztárok. Egyébként a legnagyobb Hollywoodi csillagok, zenészek, inkább.","(2768, 2865)"
